Latitude,Longitude,OBJECTID,PONTO_RECOLHA_FREGUESIA,PONTO_RECOLHA_LOCAL,CONTENTOR_RESiDUO,CONTENTOR_TIPO,CONTENTOR_CAPACIDADE,CONTENTOR_QT,CONTENTOR_TOTAL_LITROS
-9.151789464,38.70863563,406,Misericordia,15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros),Lixos,CV0120,120,2,240
-9.151789464,38.70863563,407,Misericordia,15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros),Lixos,CV0140,140,5,700
-9.151789464,38.70863563,408,Misericordia,15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros),Lixos,CV0090,90,1,90
-9.151789464,38.70863563,409,Misericordia,15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros),Lixos,CV0240,240,2,480
-9.151789464,38.70863563,410,Misericordia,15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros),Lixos,CV0120,120,2,240
-9.151789464,38.70863563,403,Misericordia,15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros),Lixos,CV0140,140,5,700
-9.151789464,38.70863563,404,Misericordia,15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros),Lixos,CV0090,90,1,90
-9.151789464,38.70863563,405,Misericordia,15814: Lg Conde-Barao (Ambos (25->29)(22->32): Bqr do Duro - R Mastros),Lixos,CV0240,240,2,480
-9.152018979,38.70860661,411,Misericordia,15815: Lg Conde-Barao (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo),Lixos,CV0120,120,1,120
-9.152018979,38.70860661,412,Misericordia,15815: Lg Conde-Barao (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo),Lixos,CV0140,140,2,280
-9.152018979,38.70860661,413,Misericordia,15815: Lg Conde-Barao (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo),Lixos,CV0240,240,1,240
-9.152018979,38.70860661,414,Misericordia,15815: Lg Conde-Barao (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo),Lixos,CV0120,120,1,120
-9.152018979,38.70860661,415,Misericordia,15815: Lg Conde-Barao (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo),Lixos,CV0140,140,2,280
-9.152018979,38.70860661,416,Misericordia,15815: Lg Conde-Barao (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo),Lixos,CV0240,240,1,240
-9.149105527,38.70907338,417,Misericordia,15818: Tv Marquês de Sampaio (Ambos (->)(->): R da Boavista - R da Boavista),Lixos,CV0240,240,1,240
-9.147649761,38.70856359,418,Misericordia,15819: R da Boavista (Ambos (1->9)(2->32): R Sao Paulo - Tv Marquês de Sampaio),Lixos,CV0140,140,9,1260
-9.147649761,38.70856359,419,Misericordia,15819: R da Boavista (Ambos (1->9)(2->32): R Sao Paulo - Tv Marquês de Sampaio),Lixos,CV0120,120,2,240
-9.147649761,38.70856359,420,Misericordia,15819: R da Boavista (Ambos (1->9)(2->32): R Sao Paulo - Tv Marquês de Sampaio),Lixos,CV0240,240,3,720
-9.147649761,38.70856359,421,Misericordia,15819: R da Boavista (Ambos (1->9)(2->32): R Sao Paulo - Tv Marquês de Sampaio),Lixos,CV0090,90,2,180
-9.147649761,38.70856359,422,Misericordia,15819: R da Boavista (Ambos (1->9)(2->32): R Sao Paulo - Tv Marquês de Sampaio),Lixos,CV1100,1100,1,1100
-9.14857178,38.70872672,423,Misericordia,15820: R da Boavista (Ambos (->)(34->84): Tv Marquês de Sampaio - Bqr dos Ferreiros),Lixos,CV0140,140,6,840
